freq,unit,na_item,geo,time,value
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2021,24805.4
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2022,27305.6
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2023,28968.6
A,CP_PPS_EU27_2020_HAB,B1GQ,HU,2024,30445.5
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2015,51462.7
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2016,50754.0
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2017,55280.2
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2018,58626.5
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2019,59944.4
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2020,62296.2
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2021,74720.4
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2022,86108.3
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2023,82972.1
A,CP_PPS_EU27_2020_HAB,B1GQ,IE,2024,88342.7
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2015,26880.4
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2016,28121.1
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2017,28946.7
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2018,29555.4
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2019,30348.1
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2020,28386.4
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2021,31782.5
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2022,35348.2
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2023,37697.0
A,CP_PPS_EU27_2020_HAB,B1GQ,IT,2024,39068.5
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2015,20741.3
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2016,21376.1
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2017,23073.2
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2018,24746.4
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2019,26382.0
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2020,26359.5
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2021,29277.0
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2022,31269.3
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2023,32931.3
A,CP_PPS_EU27_2020_HAB,B1GQ,LT,2024,34935.9
A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2015,77581.8
A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2016,78464.2
A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2017,78896.1
A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2018,78985.2
A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2019,78744.5
A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2020,77888.8
A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2021,87098.2
A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2022,90395.4
A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2023,95129.1
A,CP_PPS_EU27_2020_HAB,B1GQ,LU,2024,97690.2
A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2015,17353.1
A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2016,17925.2
A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2017,18999.8
A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2018,20230.2
A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2019,20948.7
A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2020,20911.4
A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2021,23542.2
A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2022,24939.3
A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2023,26755.5
A,CP_PPS_EU27_2020_HAB,B1GQ,LV,2024,27536.5
A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2015,27577.1
A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2016,28475.6
A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2017,31415.2
A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2018,32639.5
A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2019,33381.9
A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2020,31931.9
A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2021,36291.8
A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2022,37451.1
A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2023,41830.7
A,CP_PPS_EU27_2020_HAB,B1GQ,MT,2024,43805.0
A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2015,36639.1
A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2016,36929.7
A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2017,38491.7
A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2018,39886.4
A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2019,40548.0
A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2020,39986.8
A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2021,43741.8
A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2022,48540.1
A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2023,50216.4
