freq,unit,age,sex,geo,time,value
A,NR,TOTAL,T,MT,2020,514855
A,NR,TOTAL,T,MT,2021,516125
A,NR,TOTAL,T,MT,2022,520174
A,NR,TOTAL,T,MT,2023,542051
A,NR,TOTAL,T,MT,2024,563443
A,NR,TOTAL,T,NL,2015,16900726
A,NR,TOTAL,T,NL,2016,16979120
A,NR,TOTAL,T,NL,2017,17081507
A,NR,TOTAL,T,NL,2018,17181084
A,NR,TOTAL,T,NL,2019,17282163
A,NR,TOTAL,T,NL,2020,17407585
A,NR,TOTAL,T,NL,2021,17475415
A,NR,TOTAL,T,NL,2022,17590672
A,NR,TOTAL,T,NL,2023,17811291
A,NR,TOTAL,T,NL,2024,17942942
A,NR,TOTAL,T,PL,2015,38005614
A,NR,TOTAL,T,PL,2016,37967209
A,NR,TOTAL,T,PL,2017,37972964
A,NR,TOTAL,T,PL,2018,37976687
A,NR,TOTAL,T,PL,2019,37972812
A,NR,TOTAL,T,PL,2020,37958138
A,NR,TOTAL,T,PL,2021,37073357
A,NR,TOTAL,T,PL,2022,36889761
A,NR,TOTAL,T,PL,2023,36753736
A,NR,TOTAL,T,PL,2024,36620970
A,NR,TOTAL,T,PT,2015,10395121
A,NR,TOTAL,T,PT,2016,10368554
A,NR,TOTAL,T,PT,2017,10344478
A,NR,TOTAL,T,PT,2018,10335770
A,NR,TOTAL,T,PT,2019,10333496
A,NR,TOTAL,T,PT,2020,10375395
A,NR,TOTAL,T,PT,2021,10394297
A,NR,TOTAL,T,PT,2022,10421117
A,NR,TOTAL,T,PT,2023,10516621
A,NR,TOTAL,T,PT,2024,10639726
A,NR,TOTAL,T,RO,2015,19870647
A,NR,TOTAL,T,RO,2016,19760585
A,NR,TOTAL,T,RO,2017,19643949
A,NR,TOTAL,T,RO,2018,19533481
A,NR,TOTAL,T,RO,2019,19414458
A,NR,TOTAL,T,RO,2020,19328838
A,NR,TOTAL,T,RO,2021,19201662
A,NR,TOTAL,T,RO,2022,19043098
A,NR,TOTAL,T,RO,2023,19055228
A,NR,TOTAL,T,RO,2024,19067576
A,NR,TOTAL,T,SE,2015,9747355
A,NR,TOTAL,T,SE,2016,9851017
A,NR,TOTAL,T,SE,2017,9995153
A,NR,TOTAL,T,SE,2018,10120242
A,NR,TOTAL,T,SE,2019,10230185
A,NR,TOTAL,T,SE,2020,10327589
A,NR,TOTAL,T,SE,2021,10379295
A,NR,TOTAL,T,SE,2022,10452326
A,NR,TOTAL,T,SE,2023,10521556
A,NR,TOTAL,T,SE,2024,10551707
A,NR,TOTAL,T,SI,2015,2062874
A,NR,TOTAL,T,SI,2016,2064188
A,NR,TOTAL,T,SI,2017,2065895
A,NR,TOTAL,T,SI,2018,2066880
A,NR,TOTAL,T,SI,2019,2080908
A,NR,TOTAL,T,SI,2020,2095861
A,NR,TOTAL,T,SI,2021,2108977
A,NR,TOTAL,T,SI,2022,2107180
A,NR,TOTAL,T,SI,2023,2116972
A,NR,TOTAL,T,SI,2024,2123949
A,NR,TOTAL,T,SK,2015,5421349
A,NR,TOTAL,T,SK,2016,5426252
A,NR,TOTAL,T,SK,2017,5435343
A,NR,TOTAL,T,SK,2018,5443120
A,NR,TOTAL,T,SK,2019,5450421
A,NR,TOTAL,T,SK,2020,5457873
A,NR,TOTAL,T,SK,2021,5459781
A,NR,TOTAL,T,SK,2022,5434712
A,NR,TOTAL,T,SK,2023,5428792
A,NR,TOTAL,T,SK,2024,5424687
