freq,unit,mot_nrg,geo,time,value
A,NR,DIE,AT,2016,189139
A,NR,DIE,AT,2017,175590
A,NR,DIE,AT,2018,141159
A,NR,DIE,AT,2019,130468
A,NR,DIE,AT,2020,99196
A,NR,DIE,AT,2021,71808
A,NR,DIE,AT,2022,61537
A,NR,DIE,AT,2023,61187
A,NR,DIE,AT,2024,58478
A,NR,DIE,BE,2015,305838
A,NR,DIE,BE,2016,285653
A,NR,DIE,BE,2017,259790
A,NR,DIE,BE,2018,202272
A,NR,DIE,BE,2019,179716
A,NR,DIE,BE,2020,151970
A,NR,DIE,BE,2021,103914
A,NR,DIE,BE,2022,70559
A,NR,DIE,BE,2023,50855
A,NR,DIE,BE,2024,30286
A,NR,DIE,BG,2020,2635
A,NR,DIE,BG,2021,3032
A,NR,DIE,BG,2022,5330
A,NR,DIE,BG,2023,6032
A,NR,DIE,BG,2024,6986
A,NR,DIE,CY,2015,4157
A,NR,DIE,CY,2016,5327
A,NR,DIE,CY,2017,5450
A,NR,DIE,CY,2018,5264
A,NR,DIE,CY,2019,4532
A,NR,DIE,CY,2020,3065
A,NR,DIE,CY,2021,1460
A,NR,DIE,CY,2022,541
A,NR,DIE,CY,2023,909
A,NR,DIE,CY,2024,836
A,NR,DIE,CZ,2020,59767
A,NR,DIE,CZ,2021,56933
A,NR,DIE,CZ,2022,46078
A,NR,DIE,CZ,2023,54687
A,NR,DIE,CZ,2024,55084
A,NR,DIE,DE,2015,1538451
A,NR,DIE,DE,2016,1539596
A,NR,DIE,DE,2017,1336195
A,NR,DIE,DE,2018,1129025
A,NR,DIE,DE,2019,1230267
A,NR,DIE,DE,2020,949336
A,NR,DIE,DE,2021,691261
A,NR,DIE,DE,2022,642418
A,NR,DIE,DE,2023,703839
A,NR,DIE,DE,2024,684509
A,NR,DIE,DK,2015,64203
A,NR,DIE,DK,2016,80216
A,NR,DIE,DK,2017,77493
A,NR,DIE,DK,2018,72475
A,NR,DIE,DK,2019,60475
A,NR,DIE,DK,2020,46295
A,NR,DIE,DK,2021,26648
A,NR,DIE,DK,2022,17441
A,NR,DIE,DK,2023,15258
A,NR,DIE,DK,2024,12308
A,NR,DIE,EE,2015,6949
A,NR,DIE,EE,2016,6393
A,NR,DIE,EE,2017,6409
A,NR,DIE,EE,2018,6527
A,NR,DIE,EE,2019,6414
A,NR,DIE,EE,2020,5123
A,NR,DIE,EE,2021,5242
A,NR,DIE,EE,2022,4256
A,NR,DIE,EE,2023,4114
A,NR,DIE,EE,2024,5879
A,NR,DIE,EL,2021,18717
A,NR,DIE,EL,2022,18602
A,NR,DIE,EL,2023,19785
A,NR,DIE,EL,2024,11611
A,NR,DIE,ES,2015,658757
A,NR,DIE,ES,2016,725997
A,NR,DIE,ES,2017,690660
A,NR,DIE,ES,2018,573370
A,NR,DIE,ES,2019,455468
A,NR,DIE,ES,2020,332422
A,NR,DIE,ES,2021,265643
A,NR,DIE,ES,2022,205650
A,NR,DIE,ES,2023,186368
A,NR,DIE,ES,2024,184510
A,NR,DIE,FI,2015,38844
A,NR,DIE,FI,2016,39556
A,NR,DIE,FI,2017,36216
A,NR,DIE,FI,2018,29071
A,NR,DIE,FI,2019,22022
A,NR,DIE,FI,2020,14567
A,NR,DIE,FI,2021,11252
A,NR,DIE,FI,2022,7447
A,NR,DIE,FI,2023,5277
A,NR,DIE,FI,2024,4008
A,NR,DIE,FR,2015,1089403
A,NR,DIE,FR,2016,1032695
A,NR,DIE,FR,2017,1014418
A,NR,DIE,FR,2018,859623
A,NR,DIE,FR,2019,773411
