freq,age,sex,statinfo,unit,geo,time,value
A,TOTAL,T,MED_EI,PPS,PL,2019,12335
A,TOTAL,T,MED_EI,PPS,PL,2020,13350
A,TOTAL,T,MED_EI,PPS,PL,2021,13870
A,TOTAL,T,MED_EI,PPS,PL,2022,14906
A,TOTAL,T,MED_EI,PPS,PL,2023,16551
A,TOTAL,T,MED_EI,PPS,PL,2024,18064
A,TOTAL,T,MED_EI,PPS,PT,2015,10317
A,TOTAL,T,MED_EI,PPS,PT,2016,10805
A,TOTAL,T,MED_EI,PPS,PT,2017,10826
A,TOTAL,T,MED_EI,PPS,PT,2018,10801
A,TOTAL,T,MED_EI,PPS,PT,2019,11602
A,TOTAL,T,MED_EI,PPS,PT,2020,12333
A,TOTAL,T,MED_EI,PPS,PT,2021,12404
A,TOTAL,T,MED_EI,PPS,PT,2022,12266
A,TOTAL,T,MED_EI,PPS,PT,2023,13421
A,TOTAL,T,MED_EI,PPS,PT,2024,14446
A,TOTAL,T,MED_EI,PPS,RO,2015,4357
A,TOTAL,T,MED_EI,PPS,RO,2016,4724
A,TOTAL,T,MED_EI,PPS,RO,2017,5314
A,TOTAL,T,MED_EI,PPS,RO,2018,6278
A,TOTAL,T,MED_EI,PPS,RO,2019,7338
A,TOTAL,T,MED_EI,PPS,RO,2020,7724
A,TOTAL,T,MED_EI,PPS,RO,2021,8698
A,TOTAL,T,MED_EI,PPS,RO,2022,10033
A,TOTAL,T,MED_EI,PPS,RO,2023,11084
A,TOTAL,T,MED_EI,PPS,RO,2024,13023
A,TOTAL,T,MED_EI,PPS,SE,2015,20154
A,TOTAL,T,MED_EI,PPS,SE,2016,20955
A,TOTAL,T,MED_EI,PPS,SE,2017,20237
A,TOTAL,T,MED_EI,PPS,SE,2018,20414
A,TOTAL,T,MED_EI,PPS,SE,2019,20413
A,TOTAL,T,MED_EI,PPS,SE,2020,20083
A,TOTAL,T,MED_EI,PPS,SE,2021,20673
A,TOTAL,T,MED_EI,PPS,SE,2022,20608
A,TOTAL,T,MED_EI,PPS,SE,2023,22290
A,TOTAL,T,MED_EI,PPS,SE,2024,23693
A,TOTAL,T,MED_EI,PPS,SI,2015,15102
A,TOTAL,T,MED_EI,PPS,SI,2016,15250
A,TOTAL,T,MED_EI,PPS,SI,2017,15245
A,TOTAL,T,MED_EI,PPS,SI,2018,15771
A,TOTAL,T,MED_EI,PPS,SI,2019,16633
A,TOTAL,T,MED_EI,PPS,SI,2020,16988
A,TOTAL,T,MED_EI,PPS,SI,2021,17579
A,TOTAL,T,MED_EI,PPS,SI,2022,18792
A,TOTAL,T,MED_EI,PPS,SI,2023,20273
A,TOTAL,T,MED_EI,PPS,SI,2024,21572
A,TOTAL,T,MED_EI,PPS,SK,2015,10220
A,TOTAL,T,MED_EI,PPS,SK,2016,10466
A,TOTAL,T,MED_EI,PPS,SK,2017,9605
A,TOTAL,T,MED_EI,PPS,SK,2018,9744
A,TOTAL,T,MED_EI,PPS,SK,2019,10503
A,TOTAL,T,MED_EI,PPS,SK,2020,10076
A,TOTAL,T,MED_EI,PPS,SK,2021,9425
A,TOTAL,T,MED_EI,PPS,SK,2022,9826
A,TOTAL,T,MED_EI,PPS,SK,2023,10670
A,TOTAL,T,MED_EI,PPS,SK,2024,11433
