country_code,country,region,year,new_cars_total,new_cars_bev,new_cars_phev,ev_share,ev_phev_share,ev_level,gdp_per_capita_pps,median_disposable_income,aic_per_capita_pps,population,fuel_price,electricity_price,environmental_expenditure,bev_per_100k,gdp_change_pct,ev_share_change_pp
CZ,Czechia,Восточная Европа,2023,212662.0,6567.0,5251.0,3.087998796211829,5.557175235820222,1-5%,34973.9,16208.0,20493.2,10827529.0,1.5741259615384615,0.31705,0.8,60.65095738833856,7.878542984666725,0.9567700465777293
CZ,Czechia,Восточная Европа,2024,217520.0,10854.0,4826.0,4.989885987495403,7.208532548731151,1-5%,36255.5,16972.0,21409.1,10900555.0,1.4879896026782085,0.33415,0.9,99.57291165449833,3.664446916128883,1.9018871912835738
DE,Germany,Западная Европа,2015,3206042.0,12363.0,,0.385615659433033,,до 1%,35148.9,20365.0,23145.7,81197537.0,1.3970408163265307,0.29484999999999995,0.5,15.22583129584337,,
DE,Germany,Западная Европа,2016,3285904.0,11410.0,,0.3472408201822086,,до 1%,36132.4,21152.0,23816.8,82175684.0,1.30542,0.2973,0.5,13.884885947526765,2.798096099735692,-0.03837483925082441
DE,Germany,Западная Европа,2017,3441262.0,25056.0,29435.0,0.728104980091606,1.5834597888797772,до 1%,37613.5,21331.0,24570.0,82521653.0,1.3738800000000002,0.3048,0.5,30.3629400152709,4.09909112043485,0.38086415990939737
DE,Germany,Западная Европа,2018,3435778.0,36062.0,31422.0,1.049602157066027,1.9641548435317997,1-5%,38726.7,21980.0,25355.0,82792351.0,1.4427999999999999,0.29935,0.6,43.557163873749644,2.9595756842622833,0.32149717697442104
DE,Germany,Западная Европа,2019,3607258.0,63281.0,45246.0,1.7542687548270737,3.008573270888858,1-5%,39216.9,22693.0,25825.6,83019213.0,1.4163265306122448,0.2983,0.6,76.22452407492709,1.2657933673667188,0.7046665977610467
DE,Germany,Западная Европа,2020,2917678.0,194163.0,200394.0,6.6547096698127755,13.522979574853702,5-15%,38270.8,24229.0,24947.9,83166711.0,1.2886,0.30245,0.6,233.4624005992013,-2.4124803337336687,4.900440914985702
DE,Germany,Западная Европа,2021,2622132.0,355961.0,325437.0,13.575250978974362,25.98641105787199,5-15%,40874.4,23336.0,26407.6,83155031.0,1.5828979591836736,0.32135,0.5,428.0691086508043,6.803097923220824,6.920541309161586
DE,Germany,Западная Европа,2022,2651357.0,470559.0,362092.0,17.747855154926327,31.404710870697535,выше 15%,43577.4,23127.0,29139.1,83237124.0,1.9233529411764705,0.3318,0.5,565.3234727331521,6.612941107392412,4.172604175951966
DE,Germany,Западная Европа,2023,2844609.0,524219.0,175723.0,18.428508100761828,24.605912447018202,выше 15%,45519.2,24086.0,30234.5,83118501.0,1.8500769230769232,0.40725,0.5,630.6887079207552,4.455979475599725,0.6806529458355008
DE,Germany,Западная Европа,2024,2817331.0,380609.0,191903.0,13.509559224670442,20.321076934162157,5-15%,47008.3,25192.0,31609.8,83456045.0,1.7916603773584907,0.3947,0.6,456.05923453477817,3.271366807852516,-4.918948876091386
DK,Denmark,Северная Европа,2015,206653.0,1265.0,406.0,0.6121372542377802,0.8086018591552022,до 1%,35165.0,20384.0,23061.2,5659715.0,1.5021897959183674,0.3055,0.4,22.350948766854867,,
DK,Denmark,Северная Европа,2016,222469.0,1265.0,572.0,0.5686185491012231,0.8257330234774283,до 1%,35992.7,21355.0,23446.3,5707251.0,1.4134422,0.3086,0.4,22.16478651455841,2.3537608417460554,-0.04351870513655709
DK,Denmark,Северная Европа,2017,221473.0,691.0,621.0,0.31200191445458364,0.5923972673869953,до 1%,37964.1,20955.0,24479.3,5748769.0,1.4959422,0.30295,0.4,12.019964621991248,5.477221769970031,-0.2566166346466395
